Time_s,Raw_Theta_deg
8.332833388882717254e-03,4.740994810830991213e+01
1.666566677776543451e-02,4.740994810830991213e+01
2.499850016664815003e-02,4.740994810830991213e+01
3.333133355553086902e-02,4.728073954769208598e+01
4.166416694441358454e-02,4.728073954769208598e+01
4.999700033329630006e-02,4.728073954769208598e+01
5.832983372217901558e-02,4.728073954769208598e+01
6.666266711106173803e-02,4.625495420161720972e+01
7.499550049994445355e-02,4.625495420161720972e+01
8.332833388882716907e-02,4.625495420161720972e+01
9.166116727770988459e-02,4.625495420161720972e+01
9.999400066659260011e-02,4.394710072424394554e+01
1.083268340554753156e-01,4.394710072424394554e+01
1.166596674443580312e-01,4.394710072424394554e+01
1.249925008332407467e-01,4.394710072424394554e+01
1.333253342221234761e-01,4.159512082097290175e+01
1.416581676110061916e-01,4.159512082097290175e+01
1.499910009998889071e-01,4.159512082097290175e+01
1.583238343887716226e-01,4.159512082097290175e+01
1.666566677776543381e-01,3.748876959129476916e+01
1.749895011665370537e-01,3.748876959129476916e+01
1.833223345554197692e-01,3.748876959129476916e+01
1.916551679443024847e-01,3.748876959129476916e+01
1.999880013331852002e-01,3.283819734573562954e+01
2.083208347220679157e-01,3.283819734573562954e+01
2.166536681109506313e-01,3.283819734573562954e+01
2.249865014998333468e-01,3.283819734573562954e+01
2.333193348887160623e-01,2.776621149505779229e+01
2.416521682775987778e-01,2.776621149505779229e+01
2.499850016664814933e-01,2.776621149505779229e+01
2.583178350553642089e-01,2.776621149505779229e+01
2.666506684442469521e-01,2.210567664626952933e+01
2.749835018331296399e-01,2.210567664626952933e+01
2.833163352220123832e-01,2.210567664626952933e+01
2.916491686108950709e-01,2.210567664626952933e+01
2.999820019997778142e-01,1.765356457992501049e+01
3.083148353886605020e-01,1.765356457992501049e+01
3.166476687775432453e-01,1.765356457992501049e+01
3.249805021664259330e-01,1.765356457992501049e+01
3.333133355553086763e-01,1.399728111890207849e+01
3.416461689441913641e-01,1.399728111890207849e+01
3.499790023330741073e-01,1.399728111890207849e+01
3.583118357219567951e-01,1.399728111890207849e+01
3.666446691108395384e-01,1.041276592406759072e+01
3.749775024997222261e-01,1.041276592406759072e+01
3.833103358886049694e-01,1.041276592406759072e+01
3.916431692774876572e-01,1.041276592406759072e+01
3.999760026663704005e-01,8.625348450272843692e+00
4.083088360552530882e-01,8.625348450272843692e+00
4.166416694441358315e-01,8.625348450272843692e+00
4.249745028330185193e-01,8.625348450272843692e+00
4.333073362219012625e-01,7.882744925602617414e+00
4.416401696107839503e-01,7.882744925602617414e+00
4.499730029996666936e-01,7.882744925602617414e+00
4.583058363885494368e-01,7.882744925602617414e+00
4.666386697774321246e-01,8.301925522103296373e+00
4.749715031663148679e-01,8.301925522103296373e+00
4.833043365551975556e-01,8.301925522103296373e+00
4.916371699440802989e-01,8.301925522103296373e+00
4.999700033329629867e-01,9.780540678269527888e+00
5.083028367218457300e-01,9.780540678269527888e+00
5.166356701107284177e-01,9.780540678269527888e+00
5.249685034996111055e-01,9.780540678269527888e+00
5.333013368884939043e-01,1.275138460113602612e+01
5.416341702773765920e-01,1.275138460113602612e+01
5.499670036662592798e-01,1.275138460113602612e+01
5.582998370551419676e-01,1.275138460113602612e+01
5.666326704440247664e-01,1.668007365299396838e+01
5.749655038329074541e-01,1.668007365299396838e+01
5.832983372217901419e-01,1.668007365299396838e+01
5.916311706106728296e-01,1.668007365299396838e+01
5.999640039995556284e-01,2.098073518557705341e+01
6.082968373884383162e-01,2.098073518557705341e+01
6.166296707773210040e-01,2.098073518557705341e+01
6.249625041662036917e-01,2.098073518557705341e+01
6.332953375550864905e-01,2.688031174505077914e+01
6.416281709439691783e-01,2.688031174505077914e+01
6.499610043328518660e-01,2.688031174505077914e+01
6.582938377217345538e-01,2.688031174505077914e+01
6.666266711106173526e-01,3.209951135041526271e+01
6.749595044995000404e-01,3.209951135041526271e+01
6.832923378883827281e-01,3.209951135041526271e+01
6.916251712772655269e-01,3.209951135041526271e+01
6.999580046661482147e-01,3.707297717503636392e+01
7.082908380550309024e-01,3.707297717503636392e+01
7.166236714439135902e-01,3.707297717503636392e+01
7.249565048327963890e-01,3.707297717503636392e+01
7.332893382216790767e-01,4.138830697958595550e+01
7.416221716105617645e-01,4.138830697958595550e+01
7.499550049994444523e-01,4.138830697958595550e+01
7.582878383883272511e-01,4.138830697958595550e+01
7.666206717772099388e-01,4.437654343916171484e+01
7.749535051660926266e-01,4.437654343916171484e+01
7.832863385549753144e-01,4.437654343916171484e+01
7.916191719438581131e-01,4.437654343916171484e+01
7.999520053327408009e-01,4.701672064881110202e+01
8.082848387216234887e-01,4.701672064881110202e+01
8.166176721105061764e-01,4.701672064881110202e+01
8.249505054993889752e-01,4.701672064881110202e+01
8.332833388882716630e-01,4.883130709823574733e+01
8.416161722771543507e-01,4.883130709823574733e+01
8.499490056660370385e-01,4.883130709823574733e+01
8.582818390549198373e-01,4.883130709823574733e+01
8.666146724438025251e-01,4.947078209075365152e+01
8.749475058326852128e-01,4.947078209075365152e+01
8.832803392215679006e-01,4.947078209075365152e+01
8.916131726104506994e-01,4.947078209075365152e+01
